"","Site","Year","Latitude","Longitude","Elevation","MAT.weath","MAP.weath","CMD.weath","log.MAP.weath","MAT.clim","MAP.clim","CMD.clim","log.MAP.clim","CMD.anom","MAT.anom","MAP.anom"
"1","S02",2010,32.89928,-116.5849,1168,13.4083333333333,728,987,2.86213137931304,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-30.53333333333,-0.583055555555601,-0.0641486844635031
"2","S07",2010,34.28425,-117.375389,1092,13.85,753,940,2.8767949762007,14.5047222222222,649.6,967.033333333333,2.81264601623312,-27.033333333333,-0.654722222222201,-0.0641489599675817
"3","S08",2010,36.69096,-118.909607,1682,9.46666666666667,1014,674,3.00603795499732,10.0669444444444,969.433333333333,691.4,2.98651794857618,-17.4,-0.60027777777773,-0.0195200064211352
"4","S10",2010,36.20081,-118.650917,1288,12.35,894,769,2.95133751879592,12.8841666666667,860.833333333333,803.3,2.934919075472,-34.3,-0.5341666666667,-0.0164184433239223
"5","S11",2010,34.07808,-116.87558,1990,8.01666666666667,920,738,2.96378782734556,8.65444444444444,782.2,763.366666666667,2.89331781161611,-25.366666666667,-0.637777777777771,-0.0704700157294433
"6","S15",2010,43.37876,-122.952072,1168,9.91666666666667,2734,251,3.4367985102318,10.2619444444444,2547.8,333.033333333333,3.40616533327655,-82.033333333333,-0.34527777777773,-0.0306331769552504
"7","S16",2010,41.80979,-123.118874,1092,10.7666666666667,858,554,2.93348728784871,11.1744444444444,966.1,655.066666666667,2.98502208210954,-101.066666666667,-0.407777777777701,0.0515347942608297
"8","S17",2010,41.66546,-123.113411,680,12.0583333333333,164,927,2.2148438480477,12.4708333333333,173.266666666667,996.4,2.23871502044533,-69.4,-0.4125,0.0238711723976341
"9","S18",2010,39.74298,-120.70401,1593,8.19166666666667,1310,574,3.11727129565576,8.71388888888889,1361.56666666667,633.466666666667,3.13403891064597,-59.466666666667,-0.52222222222222,0.0167676149902043
"10","S29",2010,39.39442,-121.083023,440,15.1,1377,756,3.13893394025692,15.5572222222222,1412.4,854.833333333333,3.14995770889106,-98.833333333333,-0.4572222222222,0.0110237686341361
"11","S32",2010,37.539,-119.653999,1214,11.8416666666667,1008,757,3.00346053210951,12.3713888888889,1059.66666666667,807.6,3.02516927319511,-50.6,-0.529722222222199,0.0217087410856052
"12","S36",2010,42.27411,-123.636169,393,11.7,1426,594,3.15411952551585,12.1025,1519.13333333333,713.666666666667,3.18159589327665,-119.666666666667,-0.4025,0.027476367760805
"13","S02",2011,32.89928,-116.5849,1168,13.7666666666667,717,862,2.8555191556678,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-155.53333333333,-0.224722222222201,-0.057536460818266
"14","S07",2011,34.28425,-117.375389,1092,14.1416666666667,730,824,2.86332286012046,14.5047222222222,649.6,967.033333333333,2.81264601623312,-143.033333333333,-0.363055555555501,-0.0506768438873371
"15","S08",2011,36.69096,-118.909607,1682,9.64166666666667,1147,623,3.05956341790127,10.0669444444444,969.433333333333,691.4,2.98651794857618,-68.4,-0.425277777777731,-0.0730454693250855
"16","S10",2011,36.20081,-118.650917,1288,12.4833333333333,979,723,2.99078269180314,12.8841666666667,860.833333333333,803.3,2.934919075472,-80.3,-0.400833333333399,-0.0558636163311421
"17","S11",2011,34.07808,-116.87558,1990,8.36666666666667,907,633,2.9576072870601,8.65444444444444,782.2,763.366666666667,2.89331781161611,-130.366666666667,-0.287777777777769,-0.0642894754439833
"18","S15",2011,43.37876,-122.952072,1168,9.88333333333333,3008,336,3.4782778319196,10.2619444444444,2547.8,333.033333333333,3.40616533327655,2.96666666666698,-0.37861111111107,-0.0721124986430515
"19","S16",2011,41.80979,-123.118874,1092,10.9,1092,565,3.03822263836872,11.1744444444444,966.1,655.066666666667,2.98502208210954,-90.0666666666669,-0.2744444444444,-0.0532005562591835
"20","S17",2011,41.66546,-123.113411,680,12.2,182,926,2.26007138798507,12.4708333333333,173.266666666667,996.4,2.23871502044533,-70.4,-0.2708333333333,-0.0213563675397426
"21","S18",2011,39.74298,-120.70401,1593,8.475,1671,548,3.22297644989339,8.71388888888889,1361.56666666667,633.466666666667,3.13403891064597,-85.466666666667,-0.238888888888891,-0.0889375392474228
"22","S29",2011,39.39442,-121.083023,440,15.3666666666667,1689,774,3.22762964957101,15.5572222222222,1412.4,854.833333333333,3.14995770889106,-80.833333333333,-0.1905555555555,-0.0776719406799491
"23","S32",2011,37.539,-119.653999,1214,12.125,1331,731,3.12417805547468,12.3713888888889,1059.66666666667,807.6,3.02516927319511,-76.6,-0.2463888888889,-0.0990087822795633
"24","S36",2011,42.27411,-123.636169,393,11.6833333333333,1742,627,3.24104815067164,12.1025,1519.13333333333,713.666666666667,3.18159589327665,-86.666666666667,-0.419166666666699,-0.0594522573949923
"25","S02",2012,32.89928,-116.5849,1168,13.9083333333333,467,944,2.66931688056611,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-73.53333333333,-0.0830555555556014,0.128665814283422
"26","S07",2012,34.28425,-117.375389,1092,14.3666666666667,409,864,2.61172330800734,14.5047222222222,649.6,967.033333333333,2.81264601623312,-103.033333333333,-0.138055555555502,0.200922708225777
"27","S08",2012,36.69096,-118.909607,1682,10.0666666666667,652,651,2.81424759573192,10.0669444444444,969.433333333333,691.4,2.98651794857618,-40.4,-0.00027777777770055,0.172270352844262
"28","S10",2012,36.20081,-118.650917,1288,12.9083333333333,573,740,2.75815462196739,12.8841666666667,860.833333333333,803.3,2.934919075472,-63.3,0.0241666666666003,0.176764453504606
"29","S11",2012,34.07808,-116.87558,1990,8.6,563,614,2.75050839485135,8.65444444444444,782.2,763.366666666667,2.89331781161611,-149.366666666667,-0.0544444444444405,0.142809416764766
"30","S15",2012,43.37876,-122.952072,1168,10.0416666666667,2479,357,3.39427652676782,10.2619444444444,2547.8,333.033333333333,3.40616533327655,23.966666666667,-0.220277777777699,0.0118888065087317
"31","S16",2012,41.80979,-123.118874,1092,11.1083333333333,905,619,2.9566485792052,11.1744444444444,966.1,655.066666666667,2.98502208210954,-36.0666666666669,-0.0661111111111001,0.0283735029043317
"32","S17",2012,41.66546,-123.113411,680,12.425,156,973,2.19312459835446,12.4708333333333,173.266666666667,996.4,2.23871502044533,-23.4,-0.0458333333332988,0.0455904220908705
"33","S18",2012,39.74298,-120.70401,1593,8.84166666666667,881,671,2.94497590841205,8.71388888888889,1361.56666666667,633.466666666667,3.13403891064597,37.533333333333,0.12777777777778,0.189063002233921
"34","S29",2012,39.39442,-121.083023,440,15.7083333333333,960,851,2.98227123303957,15.5572222222222,1412.4,854.833333333333,3.14995770889106,-3.83333333333303,0.151111111111101,0.167686475851491
