,Site,Year,Latitude,Longitude,Elevation,Decision,MAT.weath,MAP.weath,CMD.weath,MAT.weath.1,MAP.weath.1,CMD.weath.1,log.MAP.weath,log.MAP.weath.1,MAT.clim,MAP.clim,CMD.clim,log.MAP.clim,CMD.anom,MAT.anom,MAP.anom
38,S07,2013,34.28425,-117.375389,1092,Unavailable,14.84166667,31.41666667,987,14.36666667,34.08333333,864,3.447338538,3.528808506,14.50472222,54.13333333,967.0333333,3.991450139,19.96666667,0.336944444,-0.544111601
50,S07,2014,34.28425,-117.375389,1092,Included,15.73333333,23.66666667,1042,14.84166667,31.41666667,987,3.164067588,3.447338538,14.50472222,54.13333333,967.0333333,3.991450139,74.96666667,1.228611111,-0.827382551
62,S07,2015,34.28425,-117.375389,1092,Remove,16.08333333,40.58333333,1014,15.73333333,23.66666667,1042,3.703357473,3.164067588,14.50472222,54.13333333,967.0333333,3.991450139,46.96666667,1.578611111,-0.288092666
74,S07,2016,34.28425,-117.375389,1092,Remove,15.34166667,31.75,1017,16.08333333,40.58333333,1014,3.457892725,3.703357473,14.50472222,54.13333333,967.0333333,3.991450139,49.96666667,0.836944444,-0.533557414
3,S08,2010,36.69096,-118.909607,1682,Remove,9.466666667,84.5,674,10.41666667,53.5,721,4.436751534,3.979681654,10.06694444,80.78611111,691.4,4.391805059,-17.4,-0.600277778,0.044946476
15,S08,2011,36.69096,-118.909607,1682,Included,9.641666667,95.58333333,623,9.466666667,84.5,674,4.559998467,4.436751534,10.06694444,80.78611111,691.4,4.391805059,-68.4,-0.425277778,0.168193409
27,S08,2012,36.69096,-118.909607,1682,Included,10.06666667,54.33333333,651,9.641666667,95.58333333,623,3.995137912,4.559998467,10.06694444,80.78611111,691.4,4.391805059,-40.4,-0.000277778,-0.396667146
39,S08,2013,36.69096,-118.909607,1682,Included,10.68333333,45.5,781,10.06666667,54.33333333,651,3.817712326,3.995137912,10.06694444,80.78611111,691.4,4.391805059,89.6,0.616388889,-0.574092733
51,S08,2014,36.69096,-118.909607,1682,Remove,11.325,37.66666667,755,10.68333333,45.5,781,3.62877553,3.817712326,10.06694444,80.78611111,691.4,4.391805059,63.6,1.258055556,-0.763029529
63,S08,2015,36.69096,-118.909607,1682,Unavailable,11.78333333,56.41666667,703,11.325,37.66666667,755,4.032764623,3.62877553,10.06694444,80.78611111,691.4,4.391805059,11.6,1.716388889,-0.359040435
75,S08,2016,36.69096,-118.909607,1682,Unavailable,10.95,83.83333333,675,11.78333333,56.41666667,703,4.428830701,4.032764623,10.06694444,80.78611111,691.4,4.391805059,-16.4,0.883055556,0.037025642
4,S10,2010,36.20081,-118.650917,1288,Remove,12.35,74.5,769,13.26666667,46.66666667,847,4.310799125,3.843030134,12.88416667,71.73611111,803.3,4.272994263,-34.3,-0.534166667,0.037804863
16,S10,2011,36.20081,-118.650917,1288,Included,12.48333333,81.58333333,723,12.35,74.5,769,4.401624993,4.310799125,12.88416667,71.73611111,803.3,4.272994263,-80.3,-0.400833333,0.12863073
28,S10,2012,36.20081,-118.650917,1288,Included,12.90833333,47.75,740,12.48333333,81.58333333,723,3.865979067,4.401624993,12.88416667,71.73611111,803.3,4.272994263,-63.3,0.024166667,-0.407015196
40,S10,2013,36.20081,-118.650917,1288,Included,13.49166667,38.91666667,872,12.90833333,47.75,740,3.661422608,3.865979067,12.88416667,71.73611111,803.3,4.272994263,68.7,0.6075,-0.611571655
52,S10,2014,36.20081,-118.650917,1288,Included,14.14166667,32.66666667,871,13.49166667,38.91666667,872,3.48635519,3.661422608,12.88416667,71.73611111,803.3,4.272994263,67.7,1.2575,-0.786639073
64,S10,2015,36.20081,-118.650917,1288,Remove,14.55,50.25,809,14.14166667,32.66666667,871,3.917010547,3.48635519,12.88416667,71.73611111,803.3,4.272994263,5.7,1.665833333,-0.355983716
76,S10,2016,36.20081,-118.650917,1288,Remove,13.78333333,67.16666667,800,14.55,50.25,809,4.207177093,3.917010547,12.88416667,71.73611111,803.3,4.272994263,-3.3,0.899166667,-0.06581717
5,S11,2010,34.07808,-116.87558,1990,Remove,8.016666667,76.66666667,738,8.891666667,42.66666667,902,4.33946702,3.753417975,8.654444444,65.18333333,763.3666667,4.177203813,-25.36666667,-0.637777778,0.162263208
17,S11,2011,34.07808,-116.87558,1990,Remove,8.366666667,75.58333333,633,8.016666667,76.66666667,738,4.3252358,4.33946702,8.654444444,65.18333333,763.3666667,4.177203813,-130.3666667,-0.287777778,0.148031988
29,S11,2012,34.07808,-116.87558,1990,Unavailable,8.6,46.91666667,614,8.366666667,75.58333333,633,3.848372978,4.3252358,8.654444444,65.18333333,763.3666667,4.177203813,-149.3666667,-0.054444444,-0.328830834
41,S11,2013,34.07808,-116.87558,1990,Remove,9.025,44.08333333,730,8.6,46.91666667,614,3.786081782,3.848372978,8.654444444,65.18333333,763.3666667,4.177203813,-33.36666667,0.370555556,-0.39112203
53,S11,2014,34.07808,-116.87558,1990,Unavailable,9.9,32.33333333,824,9.025,44.08333333,730,3.47609869,3.786081782,8.654444444,65.18333333,763.3666667,4.177203813,60.63333333,1.245555556,-0.701105123
65,S11,2015,34.07808,-116.87558,1990,Remove,10.26666667,56,726,9.9,32.33333333,824,4.025351691,3.47609869,8.654444444,65.18333333,763.3666667,4.177203813,-37.36666667,1.612222222,-0.151852122
77,S11,2016,34.07808,-116.87558,1990,Remove,9.533333333,41.25,766,10.26666667,56,726,3.719651113,4.025351691,8.654444444,65.18333333,763.3666667,4.177203813,2.633333333,0.878888889,-0.4575527
6,S15,2010,43.37876,-122.952072,1168,Included,9.916666667,227.8333333,251,10.23333333,177.75,336,5.428614367,5.180378069,10.26194444,212.3166667,333.0333333,5.358078871,-82.03333333,-0.345277778,0.070535497
18,S15,2011,43.37876,-122.952072,1168,Unavailable,9.883333333,250.6666667,336,9.916666667,227.8333333,251,5.524124035,5.428614367,10.26194444,212.3166667,333.0333333,5.358078871,2.966666667,-0.378611111,0.166045164
30,S15,2012,43.37876,-122.952072,1168,Included,10.04166667,206.5833333,357,9.883333333,250.6666667,336,5.330703882,5.524124035,10.26194444,212.3166667,333.0333333,5.358078871,23.96666667,-0.220277778,-0.027374989
42,S15,2013,43.37876,-122.952072,1168,Unavailable,10.83333333,217.1666667,331,10.04166667,206.5833333,357,5.380665108,5.330703882,10.26194444,212.3166667,333.0333333,5.358078871,-2.033333333,0.571388889,0.022586237
54,S15,2014,43.37876,-122.952072,1168,Included,10.825,167.9166667,341,10.83333333,217.1666667,331,5.123467825,5.380665108,10.26194444,212.3166667,333.0333333,5.358078871,7.966666667,0.563055556,-0.234611046
66,S15,2015,43.37876,-122.952072,1168,Included,12.14166667,173.5,492,10.825,167.9166667,341,5.156177599,5.123467825,10.26194444,212.3166667,333.0333333,5.358078871,158.9666667,1.879722222,-0.201901272
78,S15,2016,43.37876,-122.952072,1168,Remove,11.7,240.0833333,435,12.14166667,173.5,492,5.480986085,5.156177599,10.26194444,212.3166667,333.0333333,5.358078871,101.9666667,1.438055556,0.122907214
7,S16,2010,41.80979,-123.118874,1092,Included,10.76666667,71.5,554,11.3,53.25,695,4.26969745,3.974997805,11.17444444,80.50833333,655.0666667,4.388360699,-101.0666667,-0.407777778,-0.118663249
19,S16,2011,41.80979,-123.118874,1092,Unavailable,10.9,91,565,10.76666667,71.5,554,4.510859507,4.26969745,11.17444444,80.50833333,655.0666667,4.388360699,-90.06666667,-0.274444444,0.122498808
31,S16,2012,41.80979,-123.118874,1092,Included,11.10833333,75.41666667,619,10.9,91,565,4.323028294,4.510859507,11.17444444,80.50833333,655.0666667,4.388360699,-36.06666667,-0.066111111,-0.065332405
43,S16,2013,41.80979,-123.118874,1092,Included,11.79166667,74.5,640,11.10833333,75.41666667,619,4.310799125,4.323028294,11.17444444,80.50833333,655.0666667,4.388360699,-15.06666667,0.617222222,-0.077561573
